Unidade;Nome Unidade;Setor;Descrição Setor;Atividade;Máquina;Descrição Máquina;Nº Patrimônio;Plano;Descrição Plano;Sequência Manutenção;Data Execução;Quantidade Período;Sequência Tarefa;Descrição Tarefa;Funcionário;Nome Funcionário;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1368;MESA ROLANTE REPENDURA DE SUÍNOS 6000 - SISTEMA DE SEGURANÇA;258056;1;PREVENTIVA;1;21/06/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;418663;ELIAS VERNES BIANCHI;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1369;TANQUE DE ESCALDAGEM SULMAQ - MOTOBOMBA;253974;1;PREVENTIVA;1;05/07/2025;60;53118;Verificar condição geral da bomba, carcaça, vedações (selo mecânico/gaxeta), vazamentos, fixação, pressão e funcionamento em geral;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;254575;DANILO SANTOS DA SILVA;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1370;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 02 - REDUTOR 02;253972;1;PREVENTIVA;1;27/09/2025;60;16;REVISAR REDUTOR E MOTOR;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1371;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 02 - REDUTOR - MOTOR;253972;1;PREVENTIVA;1;27/09/2025;60;16;REVISAR REDUTOR E MOTOR;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1372;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 03 - REDUTOR 03;253972;1;PREVENTIVA;1;27/09/2025;60;16;REVISAR REDUTOR E MOTOR;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1373;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 03 - REDUTOR - MOTOR;253972;1;PREVENTIVA;1;27/09/2025;60;16;REVISAR REDUTOR E MOTOR;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1374;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - SISTEMA ELÉTRICO;253972;1;PREVENTIVA;1;27/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254575;DANILO SANTOS DA SILVA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1375;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - SISTEMA DE SEGURANÇA;253972;1;PREVENTIVA;1;27/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1376;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - MOTOBOMBA;253972;1;PREVENTIVA;1;27/09/2025;60;53118;Verificar condição geral da bomba, carcaça, vedações (selo mecânico/gaxeta), vazamentos, fixação, pressão e funcionamento em geral;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;254575;DANILO SANTOS DA SILVA;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1377;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 01;253972;1;PREVENTIVA;1;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1377;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 01;253972;1;PREVENTIVA;2;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1378;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 02;253972;1;PREVENTIVA;1;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1378;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 02;253972;1;PREVENTIVA;2;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1379;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 03;253972;1;PREVENTIVA;1;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1379;POLIDORA LAVADORA 3 ROLOS PRÉ ESCALDAGEM SULMAQ - ROLO 03;253972;1;PREVENTIVA;2;27/09/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1381;ASPIRADOR DE MEDULA - TANQUE DE VÁCUO - MOTOR;254248;1;PREVENTIVA;1;02/10/2025;60;16;REVISAR REDUTOR E MOTOR;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1382;ASPIRADOR DE MEDULA - TANQUE DE VÁCUO - BOMBA DE VÁCUO;254248;1;PREVENTIVA;1;02/10/2025;60;53118;Verificar condição geral da bomba, carcaça, vedações (selo mecânico/gaxeta), vazamentos, fixação, pressão e funcionamento em geral;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;304853;KEVIN RAPHAEL DO PRADO MACHADO;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1383;ASPIRADOR DE MEDULA - SISTEMA ELÉTRICO;254248;1;PREVENTIVA;1;02/10/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1384;ASPIRADOR DE MEDULA - SISTEMA DE SEGURANÇA;254248;1;PREVENTIVA;1;02/10/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1385;CENTOPEIA SANGRIA 8 PINOS SULMAQ - ELEVADOR DE CARCAÇA;253968;1;PREVENTIVA;1;25/07/2025;60;54109;INSPECIONAR COMPONENTES MECÂNICOS;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1385;CENTOPEIA SANGRIA 8 PINOS SULMAQ - ELEVADOR DE CARCAÇA;253968;1;PREVENTIVA;3;26/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254020;VALDOMIRO VICENTE DA CUNHA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1385;CENTOPEIA SANGRIA 8 PINOS SULMAQ - ELEVADOR DE CARCAÇA;253968;1;PREVENTIVA;4;26/09/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;254020;VALDOMIRO VICENTE DA CUNHA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1386;MESA ROLANTE REPENDURA DE SUÍNOS 6000 - SISTEMA HÍDRICO;258056;1;PREVENTIVA;1;05/07/2025;60;2151;TUBULACAO DE AGUA                                 ;418663;ELIAS VERNES BIANCHI;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1387;MESA ROLANTE DE INSPEÇÃO DE VÍSCERAS SULMAQ - SISTEMA DE SEGURANÇA;256816;1;PREVENTIVA;1;28/06/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1388;MESA ROLANTE DE INSPEÇÃO DE VÍSCERAS SULMAQ - ESTERILIZADOR DE BANDEJAS;256816;1;PREVENTIVA;1;28/06/2025;60;5043;VERIFICAR VAZÃO DE ÁGUA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1390;MESA ROLANTE REPENDURA DE SUÍNOS 6000 - TRANSMISSÃO MECÂNICA;258056;1;PREVENTIVA;1;05/07/2025;60;54144;TRANSMISSÃO: VERIFICAÇÃO DE COMPONENTES E FUNCIONAMENTO;418663;ELIAS VERNES BIANCHI;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1391;NÓRIA TRANSPORTE LATERAL DE DESCIDA/ENTRADA DIF SULMAQ - SISTEMA ELÉTRICO;0;1;PREVENTIVA;1;02/10/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254020;VALDOMIRO VICENTE DA CUNHA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1392;NÓRIA TRANSPORTE LATERAL DE DESCIDA/ENTRADA DIF SULMAQ - SISTEMA PNEUMÁTICO;0;1;PREVENTIVA;1;02/10/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;254020;VALDOMIRO VICENTE DA CUNHA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1393;NÓRIA TRANSPORTE LATERAL DE DESCIDA/ENTRADA DIF SULMAQ - SISTEMA DE SEGURANÇA;0;1;PREVENTIVA;1;02/10/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1407;ESTERILIZADOR PARA SERRA MANUAL DE CARCAÇA SULMAQ 01;0;1;PREVENTIVA;1;02/10/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1408;ESTERILIZADOR PARA SERRA MANUAL DE CARCAÇA SULMAQ 02;0;1;PREVENTIVA;1;02/10/2025;60;3320;ESTRUTURA E COMPONENTES: REALIZAR INSPEÇÃO VISUAL, ANALISANDO CORROSÃO, COMPONENTES DE FIXAÇÃO, SOLDAS, VIBRAÇÃO, BATENTES, E PLACAS DE SELAGEM;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1460;ESTEIRA CONDENA DIF - SISTEMA ELÉTRICO;254314;1;PREVENTIVA;1;19/07/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254575;DANILO SANTOS DA SILVA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1461;ESTEIRA CONDENA DIF - SISTEMA DE SEGURANÇA;254314;1;PREVENTIVA;1;19/07/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1462;ESTEIRA DE BANHA RAMA - SISTEMA ELÉTRICO;0;1;PREVENTIVA;1;23/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1463;ESTEIRA DE BANHA RAMA - SISTEMA DE SEGURANÇA;0;1;PREVENTIVA;1;23/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1487;OCLUSÃO DE RETO - SISTEMA ELÉTRICO;254223;1;PREVENTIVA;1;19/07/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1488;OCLUSÃO DE RETO - SISTEMA PNEUMÁTICO;254223;1;PREVENTIVA;1;19/07/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1489;SERRA CARCAÇA KENTMASTER BANDMASTER V SD 01 - SISTEMA PNEUMÁTICO;254239;1;PREVENTIVA;1;09/08/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1490;SERRA CARCAÇA KENTMASTER BANDMASTER V SD 02 - SISTEMA ELÉTRICO;254242;1;PREVENTIVA;1;16/08/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1491;SERRA CARCAÇA KENTMASTER BANDMASTER V SD 02 - SISTEMA PNEUMÁTICO;254242;1;PREVENTIVA;1;16/08/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1492;ELEVADOR PNEUMÁTICO SAÍDA DIF SULMAQ - SISTEMA ELÉTRICO;0;1;PREVENTIVA;1;23/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1493;ELEVADOR PNEUMÁTICO SAÍDA DIF SULMAQ - SISTEMA PNEUMÁTICO;0;1;PREVENTIVA;1;23/09/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1494;NÓRIA ELEVATÓRIA PARA PENDURA E SANGRIA SULMAQ - SISTEMA DE SEGURANÇA;253959;1;PREVENTIVA;1;19/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1495;NÓRIA ELEVATÓRIA PARA REPENDURA SULMAQ - SISTEMA DE SEGURANÇA;0;1;PREVENTIVA;1;19/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1496;NÓRIA DE TRANSPORTE DE SANGRIA E ESCALDAGEM SULMAQ - SISTEMA DE SEGURANÇA;253957;1;PREVENTIVA;1;19/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;254020;VALDOMIRO VICENTE DA CUNHA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1497;NÓRIA TRANSPORTE LATERAL DA SANGRIA E ESCALDAGEM SULMAQ - SISTEMA PNEUMÁTICO;253960;1;PREVENTIVA;1;19/09/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;254020;VALDOMIRO VICENTE DA CUNHA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1498;EXTRATORA DE BANHA RAMA JARVIS 01 - CAIXA DE COMANDO;0;1;PREVENTIVA;1;05/07/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1500;EXTRATORA DE BANHA RAMA JARVIS 01 - SISTEMA DE SEGURANÇA;254270;1;PREVENTIVA;1;05/07/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1501;DOSADOR SAÍDA NÓRIA EVISCERAÇÃO PARA ENTRADA DAS CÂMARAS - SISTEMA ELÉTRICO;253946;1;PREVENTIVA;1;02/10/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1503;DOSADOR PÓS NÓRIA ELEVATÓRIA DE REPENDURA SULMAQ - SISTEMA PNEUMÁTICO;253990;1;PREVENTIVA;1;26/07/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1504;LAVADOR DE CARCAÇAS SAÍDA ÁREA SUJA SULMAQ - SISTEMA ELÉTRICO;253973;1;PREVENTIVA;1;13/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;254575;DANILO SANTOS DA SILVA;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1505;LAVADOR DE CARCAÇAS SAÍDA ÁREA SUJA SULMAQ - SISTEMA HÍDRICO;253973;1;PREVENTIVA;1;19/09/2025;60;2151;TUBULACAO DE AGUA                                 ;254575;DANILO SANTOS DA SILVA;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1506;LAVADOR DE CARCAÇAS SAÍDA ÁREA SUJA SULMAQ - SISTEMA HÍDRICO - MOTOBOMBA;253973;1;PREVENTIVA;1;19/09/2025;60;53118;Verificar condição geral da bomba, carcaça, vedações (selo mecânico/gaxeta), vazamentos, fixação, pressão e funcionamento em geral;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;254575;DANILO SANTOS DA SILVA;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1547;DOSADOR CHAVE DE DESVIO PARA ENTRADA DIF - SISTEMA PNEUMÁTICO;0;1;PREVENTIVA;1;23/09/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1548;DOSADOR CHAVE DE DESVIO PARA ENTRADA DIF - SISTEMA ELÉTRICO;0;1;PREVENTIVA;1;23/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1549;DOSADOR E CHAVE DE SAÍDA DIF - SISTEMA PNEUMÁTICO;0;1;PREVENTIVA;1;23/09/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1550;DOSADOR E CHAVE DE SAÍDA DIF - SISTEMA ELÉTRICO;0;1;PREVENTIVA;1;23/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1551;DOSADOR SAÍDA NÓRIA EVISCERAÇÃO PARA ENTRADA DAS CÂMARAS - SISTEMA PNEUMÁTICO;253946;1;PREVENTIVA;1;02/10/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1552;ESTEIRA CONDENA EVISCERAÇÃO PÓS DIF - SISTEMA ELÉTRICO;254274;1;PREVENTIVA;1;23/09/2025;60;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;;304853;KEVIN RAPHAEL DO PRADO MACHADO;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1553;ESTEIRA CONDENA EVISCERAÇÃO PÓS DIF - SISTEMA PNEUMÁTICO;254274;1;PREVENTIVA;1;02/10/2025;60;5295;VERIFICAÇÃO DO CONJUNTO PNEUMÁTICO;;418663;ELIAS VERNES BIANCHI;
92;FRIG. AURORA CASTRO;ABT;SETOR ABATE/RESFRIAMENTO      ;2488;1554;ESTEIRA CONDENA EVISCERAÇÃO PÓS DIF - SISTEMA DE SEGURANÇA;254274;1;PREVENTIVA;1;23/09/2025;60;4335;VERIFICAR SISTEMA DE SEGURANÇA;304853;KEVIN RAPHAEL DO PRADO MACHADO;;
