Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
28566933/0001-60;METALURGICA BARRA DO PIRAI LTDA;205794;1;55;12.114,29;09/01/2026;13/02/2026;4;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:13:45 ;WILLIAN MARCONDES DOS SANTOS;13/01/2026;SERVIÇO DE INSTALAÇÃO DE PORTA FRIGORÍFICA INDUSTRIAL ;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
43096390/0001-58;IMEDIATA EXPRESS CARGAS E LOGISTICA LTDA;5995;5;57;1.680,00;22/12/2025;14/01/2026;22;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:14:29 ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
30080685/0001-94;CRONOS LOGISTICS;49861;A1;99;2.353,91;12/01/2026;16/01/2026;1;92;FAC;26;U.V. IMP/EXP ITAJAI;6068;LICENCIAMENTO ME;LANÇADA;Solicitação autorizada por: ALISSON MARCELO DE LIMA em: 13/01/2026 10:08:41 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 13/01/2026;TIAGO HENRIQUE CORNIANI;13/01/2026;IMPORTAÇÃO 288DI25;;13/01/2026;;13/01/2026 13:38;ALISSON MARCELO DE LIMA;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19924;1;55;435,94;06/01/2026;20/02/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;ADRIANA APARECIDA DOS SANTOS;13/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A832506, NA DATA 05/12/2025 , CONFORME ORÇAMENTO 63132;;13/01/2026;;;;
45698498/0001-46;F&F MANUTENÇÃO DE VÁLVULAS INDUSTRIAIS E PRODUTOS;26;;;13.600,00;06/01/2026;03/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;12/01/2026;CONSERTO VÁLVULAS REDUTORAS DE PRESSÃO DE 2¿ POL E VÁLVULAS DE SEGURANÇA 1.1/2¿ POL.;;12/01/2026;;;;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3231;;;7.153,50;05/01/2026;05/02/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AUTORIZADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 13/01/2026 16:14:44 ;CAMILA RAMOS;10/01/2026;TORNO - USINAGEM EM CONJUNTO DE PEÇAS (ÊMBOLO E NAVALHAS) DO DOSADOR VOLUMÉTRICO.;;13/01/2026;;;VANESSA CORREA DE MORAES MARTINI;
43376589/0001-30;LM SERVICOS FLORESTAIS;1;;;5.100,00;06/01/2026;06/02/2026;4;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;TIAGO FARIAS DOS SANTOS;10/01/2026;N/F REFERENTE A LIMPEZA DAS CAMADAS FILTRANTES ETA 1;;10/01/2026;;;;
30248458/0001-25;ENEL TRADING BRASIL S/A;220202;1;55;517.941,31;05/01/2026;;4;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 16:48:36 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;ADRIANA APARECIDA DOS SANTOS;09/01/2026;REFERENTE ENERGIA ELÉTRICA - ENEL;;09/01/2026;;09/01/2026 16:56;VANESSA CORREA DE MORAES MARTINI;
80373145/0001-77;TOTAL QUIMICA IND.COM.LTDA;61225;1;55;19.124,00;08/01/2026;29/01/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 16:07:17 Nota lançada por WILLIAN MARCONDES DOS SANTOS em: 09/01/2026;WILLIAN MARCONDES DOS SANTOS;09/01/2026;;;09/01/2026;Autorizado automaticamente através do pedido de compra 4464563 em 08/01/2026.;09/01/2026 16:09;VANESSA CORREA DE MORAES MARTINI;
80373145/0001-77;TOTAL QUIMICA IND.COM.LTDA;61180;1;55;54.640,00;07/01/2026;28/01/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 16:03:43 Nota lançada por WILLIAN MARCONDES DOS SANTOS em: 09/01/2026;WILLIAN MARCONDES DOS SANTOS;09/01/2026;;;09/01/2026;Autorizado automaticamente através do pedido de compra 4464562 em 08/01/2026.;09/01/2026 16:04;VANESSA CORREA DE MORAES MARTINI;
01654394/0001-64;USINAGEM;941;;;44.497,50;09/01/2026;09/02/2026;0;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;TIAGO FARIAS DOS SANTOS;09/01/2026;N/F REFERENTE A MANUTENÇÃO E ISNTALAÇÃO AGITADOR DO BIODIGESTOR;;09/01/2026;;;;
76108653/0001-50;KUGLER VEICULOS LTDA;84417;;;1.275,78;09/01/2026;01/02/2026;0;92;FAC;92;FAC;2054;ADMINISTRACAO;PENDENTE;Solicitação está pendente, para prosseguir solicite autorização!;VITOR FERNANDES;09/01/2026;SERVIÇO DA OITAVA REVISÃO - ONIX RYK2H98;;;;;;
60619202/0035-97;MESSER GASES LTDA;11;;;521,95;08/01/2026;08/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;09/01/2026;"ASSISTENCIA TÉCNICA DO TANQUE DE CO2. - 112582 - 14441;;09/01/2026;;;;
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;186062;4;57;10.008,76;16/12/2025;19/01/2026;24;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: MICHAEL DUARTE DA LUZ em: 09/01/2026 15:07:09 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;JEVSON JOSE ALVES FEITOSA;09/01/2026;REFERENTE A CARGA  1597214 NF 042315 NF 042316 NF 042317;;09/01/2026;;09/01/2026 16:40;MICHAEL DUARTE DA LUZ;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3223;S;99;1.349,00;01/01/2026;01/02/2026;8;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;09/01/2026;TORNO - USINAGEM EM EIXO DO MOTOR DA MESA DE REPENDURA.;;09/01/2026;;09/01/2026 16:07;VANESSA CORREA DE MORAES MARTINI;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3218;S;99;1.919,00;01/01/2026;01/02/2026;8;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;09/01/2026;TORNO - USINAGEM EM EIXO CENTRAL EXTRATORA DE RETO.;;09/01/2026;;09/01/2026 15:48;VANESSA CORREA DE MORAES MARTINI;
46016473/0002-69;ELETROMOTORES BADAN LIMITADA;1414;S;99;666,72;06/01/2026;07/03/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;FELIPE LOPES CANALLI;08/01/2026;MOTOR TRIPARIA ESTÁGIO 05 - INDO COM PINHÃO OS  95278;;09/01/2026;;09/01/2026 14:49;VANESSA CORREA DE MORAES MARTINI;
05524388/0001-43;SIMAO COMERCIO DE PARAFUSOS LTDA - ME;67689;2;55;16,00;07/01/2026;06/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 08/01/2026 16:59:45 Nota lançada por WILLIAN MARCONDES DOS SANTOS em: 08/01/2026;WILLIAN MARCONDES DOS SANTOS;08/01/2026;;;08/01/2026;Autorizado automaticamente através do pedido de compra 4463443 em 08/01/2026.;08/01/2026 17:03;VANESSA CORREA DE MORAES MARTINI;
46016473/0002-69;ELETROMOTORES BADAN LIMITADA;1413;S;99;708,99;06/01/2026;07/03/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 11:59:59 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;FELIPE LOPES CANALLI;08/01/2026;MOTOR ESTEIRA CMS OS 93930;;09/01/2026;;09/01/2026 15:28;VANESSA CORREA DE MORAES MARTINI;
46016473/0002-69;ELETROMOTORES BADAN LIMITADA;1412;S;99;824,20;05/01/2026;07/03/2026;3;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;FELIPE LOPES CANALLI;08/01/2026;MOTOR ESPOSTEJAMENTO  OS 93597;;09/01/2026;;09/01/2026 15:00;VANESSA CORREA DE MORAES MARTINI;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3217;S;99;2.050,00;01/01/2026;01/02/2026;7;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;FRANCILEI SOUZA ALVES;08/01/2026;TORNO - SERVIÇO DE USINAGEM DAS ROLDANAS DO TOMBADOR DE CONTENTORES.;;09/01/2026;;09/01/2026 15:30;VANESSA CORREA DE MORAES MARTINI;
00869496/0001-34;METALURGICA BALENA;19888;;;4.240,00;07/01/2026;07/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;08/01/2026;FABRICAÇÃO E INSTALAÇÃO DE AGITADOR TANQUE DE LODO ETE;;08/01/2026;;;;
49793963/0001-89;G.P DA LUZ;427;;;37.657,12;02/01/2026;02/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;FRANCILEI SOUZA ALVES;08/01/2026;SERVIÇOS DE ELÉTRICA COMO MONTAGEM DE INFRAS E PASSAGEM DE CABOS, MONTAGEM DE TOMADAS, LIGAÇÃO DE APARELHOS E REFORMA DE PAINEIS ELÉTRICOS. SERVIÇO DE DESLIGAMENTO E REMOÇÃO DE INFRAS INUTILIZADAS QUE ESTÃO OBSOLETAS E SEM USO. TODOS OS SERVIÇOS SERÃO EXECUTADOS DENTRO DA UNIDADE FAC EM DIAS DE SEMANA E FINAIS DE SEMANA;;08/01/2026;;;;
03448670/0001-63;ARGUS COMERCIAL;57169;1;55;513,78;05/01/2026;09/02/2026;3;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 08/01/2026 14:12:26 Nota lançada por BARBARA REGINA LIPPERT em: 09/01/2026;BARBARA REGINA LIPPERT;08/01/2026;MANGEIRA VAPOR PAREDE DUPLA SILICONE 3 COD.SIL-D,RUBBER";;08/01/2026;Autorizado automaticamente através do pedido de compra 4462291 em 05/01/2026.;09/01/2026 14:35;VANESSA CORREA DE MORAES MARTINI;
75210187/0001-57;CARAMCAR;24046;1;55;39,64;08/01/2026;01/02/2026;0;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 17:43:01 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 12/01/2026;VITOR FERNANDES;08/01/2026;LAMPADA H4 FAROL - ONIX RXS7C66;;09/01/2026;;12/01/2026 09:00;VANESSA CORREA DE MORAES MARTINI;
02427026/0009-01;ALIANÇA NAVEGAÇÃO E LOGISTICA LTDA;185654;4;57;10.007,41;10/12/2025;18/01/2026;29;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: MICHAEL DUARTE DA LUZ em: 08/01/2026 14:26:11 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;JEVSON JOSE ALVES FEITOSA;08/01/2026;REFERENTE A CARGA 14249074 NF 041944 NF 041943;;08/01/2026;;08/01/2026 15:08;MICHAEL DUARTE DA LUZ;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3219;S;99;1.700,50;01/01/2026;01/02/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:55 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;FRANCILEI SOUZA ALVES;07/01/2026;TORNO -  USINAGEM EM CONJUNTO ACIONADOR DA FACA DA PISTOLA DO RETO.;;07/01/2026;;08/01/2026 14:08;VANESSA CORREA DE MORAES MARTINI;
91831016/0001-00;ARTEFATOS DE BORRACHA PCR LTDA;4482;S;99;9.177,17;16/12/2025;16/01/2026;22;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:44 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;FRANCILEI SOUZA ALVES;07/01/2026;SERVIÇO DE MATERIAL E MÃO DE OBRA PARA REFORMA DE CILINDROS DE TRAÇÃO DO EQUIPAMENTO MÁQUINA DE TRIPAS.;;07/01/2026;;08/01/2026 14:38;VANESSA CORREA DE MORAES MARTINI;
08050646/0001-95;AUTO POSTO SUL PARANA LTDA;75753;1;55;968,21;01/01/2026;;6;92;FAC;92;FAC;728;GESTAO DE VEICULOS;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:08:38 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;RODRIGO WALTER;07/01/2026;REFERENTE ABASTECIMENTO DOS VEÍCULOS DA FROTA DA UNIDADE;;07/01/2026;;08/01/2026 08:39;VANESSA CORREA DE MORAES MARTINI;
05315545/0001-00;LABORATORIO DE EMISSOES ATMOSFÉRICAS E QUALIDADE DO AR;2274;S;99;1.740,00;04/12/2025;30/01/2026;34;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:44 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;TIAGO FARIAS DOS SANTOS;07/01/2026;N/F REFERENTE A ANÁLISES DE RUIDOS EXTERNO;;07/01/2026;;08/01/2026 14:19;VANESSA CORREA DE MORAES MARTINI;
76108653/0001-50;KUGLER VEICULOS LTDA;156668;1;55;1.835,06;06/01/2026;;1;92;FAC;92;FAC;728;GESTAO DE VEICULOS;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:08:38 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;RODRIGO WALTER;07/01/2026;REVISÃO DOS 80.000KM VEICULO RYK2H98 - ONIX;;07/01/2026;;08/01/2026 13:48;VANESSA CORREA DE MORAES MARTINI;
04368898/0001-06;COPEL DISTRIBUICAO S.A.;207364223;3;66;19.096,72;23/12/2025;10/01/2026;15;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:08:18 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;ADRIANA APARECIDA DOS SANTOS;07/01/2026;FATURA COPEL;;07/01/2026;;08/01/2026 08:31;VANESSA CORREA DE MORAES MARTINI;
18597494/0001-07;DR SOLUCOES AMBIENTAIS;6490;U;99;3.397,50;06/01/2026;06/02/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:21 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;FRANCILEI SOUZA ALVES;07/01/2026;O.S 16780 LIMPEZA DAS CAIXAS DE GORDURA DO RESTAURANTE;;07/01/2026;;09/01/2026 10:18;VANESSA CORREA DE MORAES MARTINI;
48071377/0001-68;QUIMIS APARELHOS CIENTIF.LTDA;24839;S;99;1.017,28;01/12/2025;08/01/2026;37;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:44 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;FRANCILEI SOUZA ALVES;07/01/2026;SERVIÇO DE MANUTENÇÃO EM EQUIPAMENTO BANHO MARIA MICROPROCESSADO MOD.Q215M2;;07/01/2026;;08/01/2026 14:54;VANESSA CORREA DE MORAES MARTINI;
18597494/0001-07;DR SOLUCOES AMBIENTAIS;6492;U;99;1.910,00;06/01/2026;06/02/2026;1;92;FAC;92;FAC;1244;OPERACAO ESTACAO TRATAMENTO AGUA;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 07/01/2026 16:30:14 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;TIAGO FARIAS DOS SANTOS;07/01/2026;LIMPEZA TANQUE DE GORDURA ETE PARA INSTALÇÃO DE AGITADOR;;07/01/2026;;08/01/2026 09:00;VANESSA CORREA DE MORAES MARTINI;
23502259/0001-36;DELTA SERVIÇOS INDUSTRIAIS LTDA-ME;1855;S;99;2.750,00;02/01/2026;02/02/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;CAMILA RAMOS;07/01/2026;SERVIÇO DE MÃO DE OBRA PARA REALIZAÇÃO DE ANÁLISES DE VIBRAÇÃO EM EQUIPAMENTOS E MÁQUINAS, VERIFICANDO A VIDA ÚTIL DOS ROLAMENTOS DE BOMBAS, MOTORES E REDUTORES. OBS: SERVIÇO DEVERÁ SER REALIZADO 1X POR MÊS DE JANEIRO A DEZEMBRO DE 2025, A CADA VISITA DEVERÁ SER APRESENTADO RELATÓRIOS DE DIAGNÓSTICOS E DE ALARMES COM OS HISTÓRICOS DAS ANÁLISES.;;07/01/2026;;07/01/2026 09:30;CRISTIANO RODEGHIERO MOREIRA;
